Dilution,1.5,SIK,21-02-2020,9:02,,
S.100 Plate,Source Plate 1,,MWP 96,200221-EXT00004-Flex library prep,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=5e-8,UseDeionization=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandling=Ask,
Source Well,Target Well,volume [µL],Liqued Name,,,
A1,A1,0.37,Template1,,,
B1,B1,0.92,Template2,,,
C1,C1,0.22,Template3,,,
D1,D1,0.32,Template4,,,
E1,E1,0.17,Template5,,,
F1,F1,2.42,Template6,,,
G1,G1,0.38,Template7,,,
H1,H1,0.28,Template8,,,
A2,A2,0.82,Template9,,,
B2,B2,0.44,Template10,,,
C2,C2,0.24,Template11,,,
D2,D2,0.26,Template12,,,
E2,E2,0.74,Template13,,,
F2,F2,0.26,Template14,,,
G2,G2,0.21,Template15,,,
H2,H2,1.06,Template16,,,
A3,A3,0.46,Template17,,,
B3,B3,0.57,Template18,,,
C3,C3,3.00,Template19,,,
D3,D3,0.81,Template20,,,
E3,E3,1.56,Template21,,,
F3,F3,3.00,Template22,,,
G3,G3,0.61,Template23,,,
H3,H3,0.41,Template24,,,
A4,A4,0.33,Template25,,,
B4,B4,0.92,Template26,,,
C4,C4,0.13,Template27,,,
D4,D4,3.00,Template28,,,
E4,E4,0.27,Template29,,,
F4,F4,0.26,Template30,,,
G4,G4,0.36,Template31,,,
H4,H4,0.27,Template32,,,
A5,A5,0.18,Template33,,,
B5,B5,0.15,Template34,,,
C5,C5,0.30,Template35,,,
D5,D5,0.41,Template36,,,
E5,E5,0.24,Template37,,,
F5,F5,0.34,Template38,,,
G5,G5,0.44,Template39,,,
H5,H5,0.61,Template40,,,
A6,A6,0.29,Template41,,,
B6,B6,0.86,Template42,,,
C6,C6,0.29,Template43,,,
D6,D6,0.80,Template44,,,
E6,E6,2.21,Template45,,,
F6,F6,1.07,Template46,,,
G6,G6,0.21,Template47,,,
H6,H6,0.17,Template48,,,
A7,A7,0.34,Template49,,,
B7,B7,0.21,Template50,,,
C7,C7,0.90,Template51,,,
D7,D7,1.37,Template52,,,
E7,E7,2.41,Template53,,,
F7,F7,0.52,Template54,,,
G7,G7,0.20,Template55,,,
H7,H7,3.00,Template56,,,
A8,A8,0.25,Template57,,,
B8,B8,0.33,Template58,,,
C8,C8,3.00,Template59,,,
D8,D8,0.75,Template60,,,
E8,E8,0.37,Template61,,,
F8,F8,0.22,Template62,,,
G8,G8,0.44,Template63,,,
H8,H8,2.13,Template64,,,
A9,A9,0.41,Template65,,,
B9,B9,0.36,Template66,,,
C9,C9,2.13,Template67,,,
D9,D9,0.24,Template68,,,
E9,E9,3.00,Template69,,,
F9,F9,1.15,Template70,,,
G9,G9,0.28,Template71,,,
H9,H9,0.30,Template72,,,
A10,A10,0.20,Template73,,,
B10,B10,0.60,Template74,,,
C10,C10,3.00,Template75,,,
D10,D10,0.23,Template76,,,
E10,E10,0.21,Template77,,,
F10,F10,3.00,Template78,,,
G10,G10,0.64,Template79,,,
H10,H10,0.66,Template80,,,
A11,A11,0.40,Template81,,,
B11,B11,0.10,Template82,,,
C11,C11,0.23,Template83,,,
D11,D11,0.20,Template84,,,
E11,E11,1.45,Template85,,,
F11,F11,0.18,Template86,,,
G11,G11,3.00,Template87,,,
H11,H11,1.79,Template88,,,
A12,A12,0.24,Template89,,,
B12,B12,0.43,Template90,,,
C12,C12,0.26,Template91,,,
D12,D12,3.00,Template92,,,
F12,F12,3.00,PC,,,
E12,A1,2.63,H2O,,,
G12,B1,2.08,H2O,,,
H12,C1,2.78,H2O,,,
E12,D1,2.68,H2O,,,
G12,E1,2.83,H2O,,,
H12,F1,0.58,H2O,,,
E12,G1,2.62,H2O,,,
G12,H1,2.72,H2O,,,
H12,A2,2.18,H2O,,,
E12,B2,2.56,H2O,,,
G12,C2,2.76,H2O,,,
H12,D2,2.74,H2O,,,
E12,E2,2.26,H2O,,,
G12,F2,2.74,H2O,,,
H12,G2,2.79,H2O,,,
E12,H2,1.94,H2O,,,
G12,A3,2.54,H2O,,,
H12,B3,2.43,H2O,,,
G12,D3,2.19,H2O,,,
H12,E3,1.44,H2O,,,
G12,G3,2.39,H2O,,,
H12,H3,2.59,H2O,,,
E12,A4,2.67,H2O,,,
G12,B4,2.08,H2O,,,
H12,C4,2.87,H2O,,,
G12,E4,2.73,H2O,,,
H12,F4,2.74,H2O,,,
E12,G4,2.64,H2O,,,
G12,H4,2.73,H2O,,,
H12,A5,2.82,H2O,,,
E12,B5,2.85,H2O,,,
G12,C5,2.70,H2O,,,
H12,D5,2.59,H2O,,,
E12,E5,2.76,H2O,,,
G12,F5,2.66,H2O,,,
H12,G5,2.56,H2O,,,
E12,H5,2.39,H2O,,,
G12,A6,2.71,H2O,,,
H12,B6,2.14,H2O,,,
E12,C6,2.71,H2O,,,
G12,D6,2.20,H2O,,,
H12,E6,0.79,H2O,,,
E12,F6,1.93,H2O,,,
G12,G6,2.79,H2O,,,
H12,H6,2.83,H2O,,,
E12,A7,2.66,H2O,,,
G12,B7,2.79,H2O,,,
H12,C7,2.10,H2O,,,
E12,D7,1.63,H2O,,,
G12,E7,0.59,H2O,,,
H12,F7,2.48,H2O,,,
E12,G7,2.80,H2O,,,
H12,A8,2.75,H2O,,,
E12,B8,2.67,H2O,,,
H12,D8,2.25,H2O,,,
E12,E8,2.63,H2O,,,
G12,F8,2.78,H2O,,,
H12,G8,2.56,H2O,,,
E12,H8,0.87,H2O,,,
G12,A9,2.59,H2O,,,
H12,B9,2.64,H2O,,,
E12,C9,0.87,H2O,,,
G12,D9,2.76,H2O,,,
E12,F9,1.85,H2O,,,
G12,G9,2.72,H2O,,,
H12,H9,2.70,H2O,,,
E12,A10,2.80,H2O,,,
G12,B10,2.40,H2O,,,
E12,D10,2.77,H2O,,,
G12,E10,2.79,H2O,,,
E12,G10,2.36,H2O,,,
G12,H10,2.34,H2O,,,
H12,A11,2.60,H2O,,,
E12,B11,2.90,H2O,,,
G12,C11,2.77,H2O,,,
H12,D11,2.80,H2O,,,
E12,E11,1.55,H2O,,,
G12,F11,2.82,H2O,,,
E12,H11,1.21,H2O,,,
G12,A12,2.76,H2O,,,
H12,B12,2.57,H2O,,,
E12,C12,2.74,H2O,,,
H12,E12,3.00,H2O,,,
